Distancekm,Ageyears,FamilySize,Yearofschooling,FarmingExperienceyears,AnnualIncomefromAgriculture,AnnualIncomefromothersources,OwnCultivableArea,TotalLandAreaDecimal,workingstudyingwithindistrict,Familymembersusingtheinterne,Primary_Agriculture
0.5,43,5,10,22,50000,90000,40,46,1,1,0
0.5,31,4,10,8,20000,12000,25,40,0,1,0
0.5,27,4,6,10,35000,25000,45,57,1,0,0
1,52,4,5,35,90000,20000,120,134,1,1,1
1,45,4,9,23,80000,100000,130,140,1,1,1
0.4,46,6,9,30,50000,150000,66,79,1,1,0
0.8,42,5,8,15,20000,250000,40,49,0,1,0
0.8,48,4,12,25,20000,200000,50,62,1,1,0
0.8,36,4,10,10,20000,120000,40,45,1,1,0
0.4,45,1,12,30,40000,200000,50,24,1,1,1
0.4,35,5,8,15,15000,250000,33,41,1,1,0
1,48,4,7,20,60000,30000,80,92,1,1,1
0.7,38,4,6,15,20000,200000,33,45,0,1,0
0.8,46,5,8,26,80000,20000,66,78,1,1,1
0.4,32,4,5,10,15000,120000,40,46,1,1,0
0.5,38,6,4,15,40000,20000,80,88,0,1,1
0.6,50,6,6,35,80000,200000,100,114,1,1,0
0.6,27,3,10,10,20000,120000,33,40,1,1,0
0.5,40,5,7,25,30000,72000,70,88,1,1,0
0.5,50,8,5,35,150000,,130,150,1,1,1
0.2,35,5,8,20,25000,80000,30,40,1,1,0
0.2,48,6,6,10,60000,120000,80,92,1,1,0
0.25,35,6,10,18,35000,60000,60,82,1,1,1
0.3,55,7,5,40,40000,200000,55,67,0,1,1
0.25,45,5,7,30,30000,250000,40,49,0,1,0
0.4,42,5,8,30,30000,120000,45,53,1,1,0
0.3,45,5,10,20,150000,50000,140,166,1,0,1
0.3,46,5,8,25,40000,100000,80,92,1,0,0
0.5,55,6,5,40,40000,200000,90,105,0,1,0
0.5,50,6,5,35,100000,50000,160,172,1,1,1
0.5,40,6,8,20,40000,360000,90,102,0,1,1
0.5,35,4,12,15,35000,80000,60,70,1,0,0
0.3,40,4,8,25,30000,80000,80,92,1,1,0
0.3,42,5,6,20,35000,180000,70,95,1,1,0
0.35,35,5,9,20,30000,240000,90,105,1,0,0
0.5,50,6,7,40,150000,,165,195,1,0,1
0.52,40,5,10,20,30000,240000,80,92,1,0,0
0.55,47,6,6,30,40000,60000,99,114,1,0,1
0.6,38,6,10,20,30000,300000,70,82,1,1,0
0.6,32,4,12,15,30000,200000,66,78,1,1,0
